state,AsianKilled,BlackKilled,WhiteKilled,HispanicKilled,NativeAmericanKilled,OthersKilled,Per_black_killed,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
IA,0,4823,11514,0,0,0,0.3,48116.05,90.11,12.29,96.71,0.56,0.27,0.4,2.82
WY,0,0,4501,1678,656,1136,0,60874.99,92.1,9.89,92.37,0.4,3.1,0.39,6.02
OR,0,6688,37669,0,0,8164,0.13,48088.07,88.3,16.52,87.63,0.53,2.59,1.38,9.78
SC,0,16289,35322,4995,0,5549,0.26,39787.09,80.85,22.16,61.98,32.83,0.46,0.74,4.48
NE,0,3707,12431,0,0,0,0.23,46582.91,89.99,12.98,94.72,0.42,1.56,0.29,4.07
MO,0,37195,48257,3804,0,11656,0.37,41747.62,83.52,20.11,90.44,5.88,0.54,0.55,2.36
HI,3991,705,2539,0,0,10601,0.04,64708.74,91.67,13.4,33.37,1.07,0.39,25.65,10.36
ID,0,0,14124,7071,0,2818,0,42484.79,85.17,18.24,88.82,0.3,2.52,0.49,10.7
NM,0,0,14640,35553,1730,20344,0,40952.91,80.98,23.08,65.42,0.67,15.34,0.49,45.43
TX,2480,63766,113386,87020,1951,34418,0.21,51335.33,75.69,19.92,82.59,5.88,0.66,1.01,39.36
WI,2477,18895,48606,1312,0,0,0.27,50411.4,90.26,12.86,92.96,0.94,2.62,0.79,3.32
GA,1494,32170,41039,10363,0,13483,0.33,39781.8,79.01,23.78,62.59,30.63,0.3,1.49,6.42
